Omelett med ost;Ägg;Stycken;2 
Omelett med ost;Mjölk;Deciliter;1
Omelett med ost;Salt;Tesked;1
Omelett med ost;Peppar;Tesked;1
Krämig kycklinggratäng;Ris;Deciliter;3
Krämig kycklinggratäng;Kyckling;Gram;500;
Krämig kycklinggratäng;Salt;Tesked;1
Krämig kycklinggratäng;Peppar;Tesked;1
Krämig kycklinggratäng;Vitlök;Klyfta;2
Krämig kycklinggratäng;Chili färsk;Matsked;1
Krämig kycklinggratäng;Soltorkade tomater;Deciliter;2
Krämig kycklinggratäng;Timjan;Tesked;1
Krämig kycklinggratäng;Oregano;Tesked;1
Krämig kycklinggratäng;Kycklingbuljong;Deciliter;2
Rostad grönsakssoppa med Libabröd;Morötter;Stycken;2
Rostad grönsakssoppa med Libabröd;Lök;Stycken;1
Rostad grönsakssoppa med Libabröd;Vitlök;Klyfta;2
Rostad grönsakssoppa med Libabröd;Paprika;Stycken;1
Rostad grönsakssoppa med Libabröd;Aubergine;Stycken;1
Rostad grönsakssoppa med Libabröd;Blomkål;Stycken;1
Rostad grönsakssoppa med Libabröd;Zucchini;Stycken;1
Rostad grönsakssoppa med Libabröd;Tomater;Stycken;3
Rostad grönsakssoppa med Libabröd;Olivolja;Matsked;1
Rostad grönsakssoppa med Libabröd;Salt;Tesked;1
Rostad grönsakssoppa med Libabröd;Peppar;Tesked;1
Lyxig lax med citronslungad blomkål;Olivolja;Matsked;2
Lyxig lax med citronslungad blomkål;Dill färsk;Deciliter;1
Lyxig lax med citronslungad blomkål;Babyspenat;Gram;100
Lyxig lax med citronslungad blomkål;Ägg;Stycken;2
Lyxig lax med citronslungad blomkål;Dijonsenap;Matsked;1
Lyxig lax med citronslungad blomkål;Salt;Tesked;1
Lyxig lax med citronslungad blomkål;Peppar;Tesked;1
Lyxig lax med citronslungad blomkål;Citron;Stycken;1
Lyxig lax med citronslungad blomkål;Honung;Matsked;1
Lyxig lax med citronslungad blomkål;Laxfilé;Gram;400
Lyxig lax med citronslungad blomkål;Blomkål;Stycken;1
Vårrullar med jordnötsdipp;Ris;Portion;4
Vårrullar med jordnötsdipp;Jordnötssmör;Deciliter;0.5
Vårrullar med jordnötsdipp;Sweet chilisås;Deciliter;0.5
Vårrullar med jordnötsdipp;Japansk soja;Matsked;3
Vårrullar med jordnötsdipp;Tofu;Gram;230
Vårrullar med jordnötsdipp;Morötter;Stycken;2
Vårrullar med jordnötsdipp;Avokado;Stycken;2
Vårrullar med jordnötsdipp;Salladslök;Gram;125
Vårrullar med jordnötsdipp;Böngroddar;Gram;180
Vårrullar med jordnötsdipp;Koriander;Gram;20
Vårrullar med jordnötsdipp;Rispapper;Stycken;12
Vårrullar med jordnötsdipp;Sesamfrön;Matsked;1
Broccolisallad;Broccoli;Stycken;1
Broccolisallad;Citronskal;Matsked;1
Broccolisallad;Valnötter;Matsked;2
Broccolisallad;Parmesanost;Matsked;2
Broccolisallad;Olivolja;Matsked;1
Broccolisallad;Citronjuice;Matsked;1
Broccolisallad;Havssalt;Kryddmått;2
Sesamlax med sojasås;Laxfilé;Gram;500
Sesamlax med sojasås;Tacokrydda;Gram;40
Sesamlax med sojasås;Olivolja;Matsked;1.5
Sesamlax med sojasås;Sesamfrön;Matsked;4
Sesamlax med sojasås;Japansk soja;Deciliter;1
Sesamlax med sojasås;Honung;Matsked;2
Sesamlax med sojasås;Ingefära;Matsked;2
Ugnsbakade äpplen med russin och havregryn;Äpple;Stycken;6
Ugnsbakade äpplen med russin och havregryn;Smör;Gram;50
Ugnsbakade äpplen med russin och havregryn;Kanel;Tesked;2
Ugnsbakade äpplen med russin och havregryn;Havregryn;Deciliter;1
Ugnsbakade äpplen med russin och havregryn;Russin;Deciliter;1
Ugnsbakade äpplen med russin och havregryn;Vaniljkvarg;Deciliter;2
Blodapelsindessert med mascarpone och pumpakärnor;Blodapelsin;Stycken;4
Blodapelsindessert med mascarpone och pumpakärnor;Havregryn;Deciliter;1
Blodapelsindessert med mascarpone och pumpakärnor;Pumpakärnor;Deciliter;1
Blodapelsindessert med mascarpone och pumpakärnor;Smör;Gram;25
Blodapelsindessert med mascarpone och pumpakärnor;Honung;Matsked;1
Blodapelsindessert med mascarpone och pumpakärnor;Mascarpone;Deciliter;2
Amerikanska ananaspannkakor;Ägg;Stycken;1
Amerikanska ananaspannkakor;Mjölk;Deciliter;1
Amerikanska ananaspannkakor;Ananas;Gram;227
Amerikanska ananaspannkakor;Vetemjöl;Deciliter;2
Amerikanska ananaspannkakor;Bakpulver;Tesked;2
Amerikanska ananaspannkakor;Vaniljsocker;Tesked;1
Amerikanska ananaspannkakor;Smör;Matsked;2
Vegetarisk carpaccio på avokado;Avokado;Stycken;4
Vegetarisk carpaccio på avokado;Ruccola;Gram;70
Vegetarisk carpaccio på avokado;Citronjuice;Matsked;1.5
Vegetarisk carpaccio på avokado;Olivolja;Deciliter;0.75
Vegetarisk carpaccio på avokado;Flingsalt;Kryddmått;1
Vegetarisk carpaccio på avokado;Peppar;Kryddmått;1
Vegetarisk carpaccio på avokado;Salt;Kryddmått;1
